questions,answers,age,gender,age_gender,location,age_gender_location,total
"Patient is a 42 year old male who presents with a history of worsening swelling in his legs and scrotum, as well as thickened and hard skin in his legs. He has been living in the metropolitan area of Recife, Pernambuco, Brazil for the past 6 years. He also mentions that mosquito bites are common in the area. What tests should I do to confirm diagnosis?","Given the symptoms and history of mosquito bites, lymphedema is suspected. To confirm the diagnosis, order a complete blood count (CBC) to rule out other causes of swelling, and a skin biopsy to assess for chronic inflammation.",0.3,0.1,0.05,0.8,0.6,0.55
"Patient a 10 year old male who is reporting of diarrhea, fatigue, loss of appetite, stomach cramps, bloating with gas and nausea, which has lasted about a week. Patient is from the Semai tribe in Peninsula Malaysia and regularly eats raw vegetables purchased from roadside food vendors. How should I manage this condition?","Given the symptoms and history of eating raw vegetables from roadside vendors, food poisoning is a strong possibility. I would recommend managing this condition with oral rehydration therapy, such as ORS (oral rehydration solution), to prevent dehydration. Additionally, if the symptoms persist or worsen, consider stool examination to rule out bacterial or parasitic infections, and advise the parents to avoid raw or undercooked vegetables.",0.2,0.1,0.05,0.7,0.35,0.45
"Patient is a 11 year old male who lives in Capetown is reporting a cough, shortness of breath, chest pain, fever, headache, which has lasted about two weeks. The patient is known to be HIV positive. Is there any additional information I need to make a diagnosis?","Given the HIV status and prolonged respiratory symptoms, pulmonary tuberculosis (TB) is a strong possibility. You should obtain a chest X-ray, sputum sample for GeneXpert MTB/RIF, and possibly sputum microscopy and culture.",0.5,0.3,0.2,0.8,0.6,0.5
"Patient is a 50 year old male reporting nasal congestion, and discharge accompanied by sinus pain, fever and a headache. Patient also has swelling on one side of the face, and black lesions on the upper interior of the mouth. Patient has a history of chronic kidney disease and lives in Maharashtra. What is the most likely diagnosis for this condition?","Given the symptoms and history, the most likely diagnosis is maxillary sinusitis with a possible fungal infection, possibly mucormycosis. The black lesions on the upper interior of the mouth suggest oral involvement, which is a complication of mucormycosis, especially in immunocompromised patients with chronic kidney disease.",0.6,0.4,0.7,0.8,0.9,0.85
Patient is a 45 year old male reporting a fever. They also have a blackened ulcer on their arm that is tender to touch and have excessive swelling around the wound. Patient is managing HIV/AIDs and lives in Maharashtra. What tests should I do to confirm diagnosis?,"Given the patient's symptoms, particularly the blackened ulcer with swelling, and HIV/AIDS status, nocardiosis is a strong possibility. To confirm the diagnosis, order a skin biopsy for histopathology and culture, and blood tests for Nocardia species detection, such as PCR or serology.",0.8,0.4,0.6,0.9,0.85,0.83
"Patient is a 30 year old male reporting an itchy ring-shaped rash with clear skin in the center on their face and belly area. They have no other symptoms. They work in a physically intensive, outdoor job and reside in New Delhi. How should I manage this condition?","Given the symptoms and geographic location, the condition is likely ringworm, a fungal infection caused by dermatophytes. To manage this condition, prescribe an antifungal cream or ointment containing clotrimazole or terbinafine for 2-4 weeks. Also, advise the patient to avoid scratching the affected area and maintain good hygiene, especially after working outdoors.",0.3,0.2,0.05,0.7,0.45,0.45
"Patient is a 43 year old male reporting with a fever, headache, nausea and general unwellness. Patient has also developed a non-itchy, flat rash on his back. Patient lives in Teluk Intan and recently went on a hike to Durian Perangin waterfall. Can you provide the appropriate medication for the condition?","The symptoms and recent exposure suggest scrub typhus, a mite-borne illness caused by Orientia tsutsugamushi. The appropriate treatment is doxycycline 100 mg twice daily for 7–10 days. Early treatment is important to prevent complications. If doxycycline is contraindicated, azithromycin may be used as an alternative.",0.2,0.1,0.05,0.8,0.65,0.45
I am a 66 year old woman visiting San Lorenzo district in Paraguay. Am I at risk for Chikungunya?,"Given the symptoms and geographic location, Chikungunya virus infection is suspected. To confirm the diagnosis, order RT-PCR or virus isolation in the first 7 days of illness, or IgM and IgG serology if symptoms began more than a week ago. 
Also monitor blood pressure and renal function due to her hypertension history.",0.7,0.4,0.9,0.8,0.95,0.85
"My 13 year old daughter visited family in Mossoró 2 weeks. When she came back she had a high fever, headache, nausea, muscle, and joint pain and we gave her painkillers. Today she started having severe stomach pain, vomiting, and bleeding from their nose and pain behind her eyes. Should I take her to the clinic?","Given the sudden onset of severe stomach pain, vomiting, and bleeding from the nose, along with the previous symptoms, Dengue fever is highly suspected. These new symptoms are indicative of hemorrhagic complications, which can be life-threatening. It is essential to seek immediate medical attention at a clinic or hospital for proper evaluation and management, including possible blood transfusion and supportive care.",0.6,0.8,0.85,0.9,0.92,0.88
My six year old neighbor's daughter has some sores on her body. She saus it does not hurt. Should she go to the hospital? She lives in Kabul city in Herat province on her family’s farm land.,"Given the child's symptoms and age, it's essential to investigate the cause of the sores. Leishmaniasis, a parasitic disease, is prevalent in rural areas of Afghanistan, including Herat province. The absence of pain does not rule out a serious infection. Consult a pediatrician or a dermatologist for further evaluation and possible skin scraping or biopsy to determine the cause of the sores.",0.8,0.4,0.6,0.9,0.85,0.8
