questions,answers,age,gender,age_gender,location,age_gender_location,total
"A 55-year-old woman presents to the hospital with chief complaints of unintentional weight loss, anorexia, fever, and sweating. The patient has pleuritic chest pain, progressive dyspnea, and dry cough. There is no history of orthopnea or paroxysmal nocturnal dyspnea. On examination, the patient is afebrile and pericardial friction rub is noted. ECG shows diffuse ST-segment elevation in V1-V4 along with T wave inversion. Chest X-ray and CT scan show anterior and inferior pericardial eggshell calcification. Echocardiography reveals thickened pericardium and signs of diastolic right ventricular collapse. Pericardial fluid is sent for Ziehl-Neelsen staining to detect acid-fast bacilli. Mycobacterium tuberculosis is detected by PCR. What is the most likely mechanism associated with the patient’s condition?","The most likely mechanism associated with the patient's condition is tuberculous pericarditis, which is an infection of the pericardium caused by Mycobacterium tuberculosis. This is supported by the patient's symptoms, the presence of pericardial friction rub, ECG changes, chest imaging findings, echocardiography results, and the detection of Mycobacterium tuberculosis in the pericardial fluid.",0.1,0,0.1,0,0.1,0.1
"A 62-year-old man has been receiving amoxicillin for acute sinusitis for 12 days. He develops a macular rash on his neck, back, and torso. The amoxicillin is therefore changed to cephalexin for an additional week. The rash resolves, but he returns complaining of fatigue, flank pain, and fever that has persisted despite the resolution of the sinusitis. He has a history of essential hypertension, hyperlipidemia, and gastric reflux. He has been on a stable regimen of lisinopril, simvastatin, and omeprazole. Today, his vital signs reveal: temperature 37.9°C (100.2°F), blood pressure 145/90 mm Hg, regular pulse 75/min, and respirations 16/min. The physical examination is unremarkable. Serum urea and creatinine are elevated. Urinalysis shows leukocyturia, but urine bacterial culture is negative. A urine cytospin stained with Hansel’s solution reveals 3% binucleated cells with eosinophilic, granular cytoplasm. Which of the following is the most likely diagnosis?","The most likely mechanism associated with the patient's condition is tuberculous pericarditis, which is an infection of the pericardium caused by Mycobacterium tuberculosis. This is supported by the patient's symptoms, the presence of pericardial friction rub, ECG changes, chest imaging findings, echocardiography results, and the detection of Mycobacterium tuberculosis in the pericardial fluid.",0.1,0,0.1,0,0.1,0.1
"A 2-year-old girl is brought to the emergency department by her parents after they found her to be lethargic and febrile. Her current symptoms started 1 week ago and initially consisted of a sore throat and a runny nose. She subsequently developed a fever and productive cough that has become worse over time. Notably, this patient has previously presented with pneumonia and gastroenteritis 8 times since she was born. On presentation, the patient's temperature is 103°F (39.4°C), blood pressure is 90/50 mmHg, pulse is 152/min, and respirations are 38/min. Based on clinical suspicion, an antibody panel is obtained and the results show low levels of IgG and IgA relative to the level of IgM. The expression of which of the following genes is most likely abnormal in this patient?","The expression of the gene responsible for the production of IgG and IgA (Immunoglobulin G and A) is likely reduced in this patient, specifically the gene for Immunoglobulin G (IGG) and Immunoglobulin A (IGA) synthesis, which are located on chromosome 14 and chromosome 19, respectively. This could indicate an immunodeficiency disorder such as Common Variable Immunodeficiency (CVID) or X-linked Agammaglobulinemia (XLA). However, a definitive diagnosis requires further testing and consultation with a pediatric immunologist.",0.1,0,0.1,0,0.1,0.1
"A 23-year-old man presents to his primary care physician for knee pain. The patient states it started yesterday and has been steadily worsening. He recently joined a volleyball team to try to get into shape as he was informed that weight loss would be beneficial for him at his last physical exam. He states that he has been repetitively pivoting and twisting on his knee while playing volleyball. The patient has a past medical history of polycystic ovarian syndrome and is currently taking oral contraceptive pills. His temperature is 98.5°F (36.9°C), blood pressure is 137/88 mmHg, pulse is 90/min, respirations are 12/min, and oxygen saturation is 98% on room air. Physical exam reveals an obese man with facial hair. Physical exam is notable for tenderness that is mediated with palpation over the medial aspect of the tibia just inferior to the patella. His BMI is 37 kg/m^2. The rest of the exam of the lower extremity is not remarkable. Which of the following is the most likely diagnosis?","The most likely diagnosis is a medial collateral ligament (MCL) sprain, a common knee injury caused by twisting or pivoting movements. The patient's history of playing volleyball, tenderness over the medial aspect of the tibia, and high BMI contribute to this diagnosis. An X-ray may be ordered to rule out any fractures, but an MRI may be necessary to confirm the extent of the ligament damage. Physical therapy and rest are the main treatments for MCL sprains.",0.1,0.05,0.15,0,0.15,0.15
"A 28-year-old man comes to the emergency department because of increasing abdominal pain for 2 days. The pain is diffuse and constant, and he describes it as 7 out of 10 in intensity. He has also had numbness in his lower extremities for 12 hours. He has type 1 diabetes mellitus, migraine with aura, and essential tremor. He appears uncomfortable. He is oriented to place and person only. His temperature is 37°C (98.6°F), pulse is 123/min, and blood pressure is 140/70 mm Hg. Examination shows a distended abdomen with no tenderness to palpation. Bowel sounds are decreased. Muscle strength and sensation is decreased in the lower extremities. There is a tremor of the right upper extremity. Urinalysis shows elevated levels of aminolevulinic acid and porphobilinogen. Which of the following is the most likely cause of this patient's symptoms?","The most likely cause of this patient's symptoms is an acute abdomen due to an attack of acute intermittent porphyria (AIP), a genetic disorder that affects the body's ability to produce heme. The elevated levels of aminolevulinic acid and porphobilinogen in the urine are diagnostic markers for AIP. This condition can cause abdominal pain, constipation, and neurological symptoms like numbness and muscle weakness. Immediate treatment is necessary to prevent complications.",0.1,0,0.1,0,0.1,0.1
"An 82-year-old comes to the physician for a routine checkup. She feels well. She has a history of hypertension, peripheral vascular disease, carotid stenosis, and mild dementia. Her mother had Parkinson's disease and died of a stroke at the age of 74 years. She has smoked one-half pack of cigarettes daily for 30 years but quit at the age of 50 years. She drinks alcohol in moderation. Current medications include aspirin and lisinopril. She appears healthy. Her temperature is 36.9°C (98.4°F), pulse is 73/min, respirations are 12/min, and blood pressure is 142/92 mmHg. Examination shows decreased pedal pulses bilaterally. Ankle jerk and patellar reflexes are absent bilaterally. Sensation to light touch, pinprick, and proprioception is intact bilaterally. Muscle strength is 5/5 bilaterally. She describes the town she grew up in with detail but only recalls one of three words after 5 minutes. Which of the following is the most appropriate next step in management for these findings?","The most appropriate next step in management for this patient would be to closely monitor her blood pressure and consider adjusting her current medication, such as lisinopril, to better control her hypertension. Additionally, given her history of peripheral vascular disease, carotid stenosis, and the neurological findings, a referral to a neurologist for further evaluation of her dementia and potential stroke risk is advisable. A carotid ultrasound may also be beneficial to assess for any blockages. Lifestyle modifications, such as quitting smoking and limiting alcohol consumption, should also be reinforced.",0,0.1,0.1,0,0.1,0.1
"A 42-year-old female presents to the emergency department due to severe headaches and palpitations. She has had previous episodes of sweating and headache, but this episode was particularly disabling. Upon presentation, she appears pale and diaphoretic. Her temperature is 99.3°F (37.4°C), blood pressure is 162/118 mmHg, pulse is 87/min, and respirations are 20/min. Based on clinical suspicion, an abdominal CT scan is obtained, which shows a retroperitoneal mass. This patient's increased heart rate is most likely due to a change in activity of which of the following channels?","This patient's increased heart rate is most likely due to a change in activity of the sympathetic nervous system, specifically the adrenergic system, which controls the body's ""fight or flight"" response. This response is triggered by stress or fear, and can cause an increase in heart rate, blood pressure, and respiratory rate. The retroperitoneal mass may be causing stress or discomfort, leading to this response.",0.1,0,0.1,0,0.1,0.1
"A 52-year-old farmer presents to her physician with a puncture wound on her left shin. She got this wound accidentally when she felt unwell and went out to her garden ""to catch some air"". She reports she had been treated for tetanus 35 years ago and has received the Tdap vaccine several times since then, but she does not remember when she last received the vaccine. Her vital signs are as follows: the blood pressure is 110/80 mm Hg, heart rate is 91/min, respiratory rate is 19/min, and temperature is 37.8°C (100.0°F). On physical examination, she is mildly dyspneic and pale. Lung auscultation reveals diminished vesicular breath sounds in the lower lobes bilaterally with a few inspiratory crackles heard over the left lower lobe. There is a puncture wound 1 cm in diameter that is contaminated with soil in the middle third of the patient’s shin. You order blood tests and an X-ray, and now you are arranging her wound treatment. How should tetanus post-exposure prevention be performed in this case?","Tetanus post-exposure prevention should include:
1. Cleaning and debriding the wound thoroughly.
2. Administering tetanus toxoid, reduced diphtheria toxoid, and pertussis vaccine (Tdap) if the patient has not received it within the past 10 years.
3. If the patient has not received a tetanus-containing vaccine within the past 5 years, give tetanus immune globulin (TIG) in addition to the Tdap vaccine.
4. Monitor the patient for signs of tetanus and provide appropriate treatment if symptoms develop.",0.1,0,0.1,0,0.1,0.1
"A 74-year-old man is brought to the physician by his wife because of difficulty sleeping for several years. He says that he has been gradually sleeping less each night over the past 2 years. It takes him 20–25 minutes to fall asleep each night and he wakes up earlier in the morning than he used to. On average, he sleeps 5–6 hours each night. He says that he has also been waking up several times per night and needs about 20 minutes before he is able to fall back to sleep. He feels mildly tired in the afternoon but does not take any naps. His wife reports that he does not snore. The patient drinks two cups of coffee each morning, but he does not smoke or drink alcohol. He takes a 45 minute walk with his wife and their dog every other day. He is 160 cm (5 ft 3 in) tall and weighs 55 kg (121 lb); BMI is 21 kg/m2. Vital signs are within normal limits. On mental status examination, he appears cooperative with a mildly anxious mood and a full range of affect. Which of the following is the most appropriate next step in management?","The most appropriate next step in management for this patient's sleep disturbance would be to refer him to a sleep specialist for further evaluation, which may include a sleep study (polysomnography) to determine if he has a sleep disorder such as insomnia or sleep apnea. Lifestyle modifications such as limiting caffeine intake, maintaining a consistent sleep schedule, and practicing relaxation techniques may also be beneficial.",0.1,0,0.1,0,0.1,0.1
"A 63-year-old woman comes to the emergency department because of pain in her left groin for the past hour. The pain began soon after she returned from a walk. She describes it as 8 out of 10 in intensity and vomited once on the way to the hospital. She has had a swelling of the left groin for the past 2 months. She has chronic obstructive pulmonary disease and hypertension. Current medications include amlodipine, albuterol inhaler, and a salmeterol-fluticasone inhaler. She appears uncomfortable. Her temperature is 37.4°C (99.3°F), pulse is 101/min, and blood pressure is 126/84 mm Hg. Examination shows a tender bulge on the left side above the inguinal ligament that extends into the left labia; lying down or applying external force does not reduce the swelling. Coughing does not make the swelling bulge further. There is no erythema. The abdomen is distended. Bowel sounds are hyperactive. Scattered rhonchi are heard throughout both lung fields. Which of the following is the most appropriate next step in management?","The most appropriate next step in management is to perform an ultrasound or CT scan of the abdomen and pelvis to evaluate for possible incarcerated or strangulated hernia, which could be causing the symptoms. Given the patient's history of chronic obstructive pulmonary disease and hypertension, it is also important to monitor her respiratory status and manage any exacerbation of her COPD symptoms. If the patient's condition worsens or if there is suspicion of a bowel obstruction, surgical consultation may be necessary.",0.1,0,0.1,0,0.1,0.1
